seed,structure,target,network,method,features,train_error,test_error,violation
0,chain,A,mlp,baseline,all,1.0,1.0,0.0
0,chain,A,mlp,constr_all,all,1.0,1.0,0.014484153129160404
0,chain,A,mlp,dsep_uncon,mb,1.0,1.0,0.0
0,chain,A,mlp,dsep_con,mb,1.0,1.0,0.0
0,chain,B,mlp,baseline,all,1.0,1.0,0.0
0,chain,B,mlp,constr_all,all,1.0,1.0,0.029658379033207893
0,chain,B,mlp,dsep_uncon,mb,1.0,1.0,0.030085960403084755
0,chain,B,mlp,dsep_con,mb,1.0,1.0,0.029658379033207893
0,chain,C,mlp,baseline,all,0.7078947368421054,0.7078947368421054,0.0
0,chain,C,mlp,constr_all,all,0.65,0.631578947368421,0.0024483695160597563
0,chain,C,mlp,dsep_uncon,mb,0.7078947368421054,0.7078947368421054,0.0
0,chain,C,mlp,dsep_con,mb,0.7078947368421054,0.7078947368421054,0.0
0,fork,A,mlp,baseline,all,1.0,1.0,0.0
0,fork,A,mlp,constr_all,all,0.9228571428571429,0.942857142857143,0.0023360359482467175
0,fork,A,mlp,dsep_uncon,mb,1.0,1.0,0.0
0,fork,A,mlp,dsep_con,mb,1.0,1.0,0.0
0,fork,B,mlp,baseline,all,1.0,1.0,0.0
0,fork,B,mlp,constr_all,all,1.0,1.0,0.009813531301915646
0,fork,B,mlp,dsep_uncon,mb,0.8653846153846155,0.8942307692307694,0.0056222411803901196
0,fork,B,mlp,dsep_con,mb,1.0,1.0,0.009813531301915646
0,fork,C,mlp,baseline,all,0.8746268656716418,0.8716417910447761,0.0
0,fork,C,mlp,constr_all,all,0.8925373134328359,0.9074626865671642,0.007309007924050093
0,fork,C,mlp,dsep_uncon,mb,0.8746268656716418,0.8716417910447761,0.0
0,fork,C,mlp,dsep_con,mb,1.0,1.0,0.0
0,collider,A,mlp,baseline,all,1.0,1.0,0.0
0,collider,A,mlp,constr_all,all,1.0,1.0,0.0473347082734108
0,collider,A,mlp,dsep_uncon,mb,1.0,1.0,0.07469634711742401
0,collider,A,mlp,dsep_con,mb,1.0,1.0,0.0473347082734108
0,collider,B,mlp,baseline,all,0.7702702702702704,0.7864864864864864,0.04835652932524681
0,collider,B,mlp,constr_all,all,0.872972972972973,0.9189189189189189,0.040237508714199066
0,collider,B,mlp,dsep_uncon,mb,0.7702702702702704,0.7864864864864864,0.04835652932524681
0,collider,B,mlp,dsep_con,mb,0.872972972972973,0.9189189189189189,0.040237508714199066
0,collider,C,mlp,baseline,all,1.0,1.0,0.0
0,collider,C,mlp,constr_all,all,1.0,1.0,0.06008052080869675
0,collider,C,mlp,dsep_uncon,mb,1.0,1.0,0.0766390711069107
0,collider,C,mlp,dsep_con,mb,1.0,1.0,0.06008052080869675
